names,scores,logfoldchanges,pvals,pvals_adj,log2fc,actual_fold_change
CEBPE,84.54104,7.2537966,0.0,0.0,10.465016,1413.461
PLEK,58.33316,6.721716,0.0,0.0,9.697386,830.24084
LST1,56.95049,4.933288,0.0,0.0,7.1172304,138.83527
MS4A3,49.483402,3.910487,0.0,0.0,5.64164,49.923252
MYO1F,41.919365,3.6364698,0.0,0.0,5.246317,37.9576
PNRC1,41.75109,3.2916205,0.0,0.0,4.7488046,26.886396
ITGB2,40.68454,4.1419625,0.0,0.0,5.975589,62.926193
CSF3R,39.951252,3.7674484,0.0,0.0,5.4352794,43.26952
AIF1,38.480038,2.4728148,0.0,0.0,3.5675175,11.855771
TYROBP,37.34185,3.627021,3.4380873847862504e-305,2.7769431806918546e-302,5.232685,37.60064
CORO1A,36.986942,3.2798023,1.8568399048745544e-299,1.3634269010610705e-296,4.7317543,26.57052
TRGC1,36.93306,7.8733387,1.3623771479213451e-298,9.169933519800587e-296,11.358827,2626.3196
FYB,35.46483,6.3391895,1.7139590901100614e-275,1.0648959669860743e-272,9.145517,566.33716
LMO4,33.71184,1.9426503,3.876854986493504e-249,2.2366684089934308e-246,2.802652,6.9772186
VIM,33.02302,1.7395681,3.7960876024898876e-239,2.0440666376873884e-236,2.5096662,5.6948833
PTPRC,32.69162,5.2493057,2.0544985426920098e-234,1.0371365455827103e-231,7.5731473,190.434
CD84,32.18852,5.190246,2.55502903840773e-227,1.2139393848952492e-224,7.487942,179.51273
HCLS1,32.158573,5.436418,6.702675313148896e-227,3.007639361350202e-224,7.8430934,229.61824
MSRB1,30.61035,1.981591,8.913803225303901e-206,3.789304665830506e-203,2.8588314,7.254275
PYCARD,30.443823,1.4017031,1.446064365087374e-203,5.83993093840536e-201,2.0222301,4.0621123
ITGAM,30.172012,4.2965794,5.518294620081804e-200,2.025966620290942e-197,6.1986537,73.44813
COTL1,29.980183,2.5743117,1.7791788660874367e-197,6.2480120440818374e-195,3.7139468,13.122281
PRG2,29.532726,6.067328,1.0945370875269107e-191,3.536230422381943e-189,8.753304,431.5261
RASSF2,28.589804,3.3697627,8.9962033793779e-180,2.691197581305011e-177,4.86154,29.071627
TMSB4X,27.73041,0.7088193,3.0025582891160605e-169,8.362642517651869e-167,1.0226102,2.0315912
VAMP8,27.47891,0.93687457,3.137138368790584e-166,8.446222201573849e-164,1.3516243,2.551993
SAT1,26.258144,2.2721286,5.769930936469883e-152,1.4563666304333514e-149,3.2779887,9.700026
GLRX,26.144705,2.2204335,1.1321046738269207e-150,2.7709119546969816e-148,3.2034082,9.211323
RGS18,25.884407,4.957504,9.978037695480533e-148,2.3703708960704786e-145,7.152166,142.2383
ARHGDIB,25.707685,2.408643,9.590722965445162e-146,2.2132648397685877e-143,3.4749372,11.118863
CD48,25.610443,4.7601056,1.167147397402207e-144,2.6186248691160068e-142,6.8673806,116.758255
TNFSF10,25.462212,3.0900676,5.170891723636103e-143,1.1287916878867244e-140,4.4580255,21.978563
C10orf54,25.348457,3.371554,9.345359760573253e-142,1.9863808101618464e-139,4.8641243,29.123747
CYBA,24.666157,0.9577896,2.469239659424802e-134,4.6381508672497964e-132,1.3817983,2.60593
IFITM2,24.628458,1.0938871,6.262585378219854e-134,1.149611411360949e-131,1.5781455,2.9858577
MSN,24.10425,1.0914824,2.2559264369427345e-128,3.796066214830514e-126,1.5746763,2.9786866
SPI1,23.951984,1.7272837,8.810704138227322e-127,1.3953736730286682e-124,2.4919436,5.625353
HVCN1,23.516932,2.3416393,2.7374196901571334e-122,4.171724308943239e-120,3.3782713,10.398269
TRPM4,23.475,2.245082,7.344923439225426e-122,1.0986101225671068e-119,3.2389686,9.441188
CFD,23.371359,1.3186972,8.359944541585585e-121,1.2057727153997636e-118,1.902478,3.7385478
RP11-301G19.1,23.327717,0.8594971,2.3204098308257374e-120,3.2880614392244704e-118,1.2399921,2.3619726
TMSB10,23.307396,0.517027,3.7302197837060286e-120,5.194652619481654e-118,0.7459123,1.6770344
TNFAIP8,22.918745,1.9221586,3.021653957792186e-116,4.1365930537436415e-114,2.7730887,6.8356977
LPCAT2,22.648079,2.349702,1.4573076696689787e-113,1.961779007986057e-111,3.3899033,10.482444
EVI2B,22.625912,3.4472294,2.4093511672701388e-113,3.1902179308263788e-111,4.973301,31.413239
ACSL1,22.483469,3.1018674,6.024348875344098e-112,7.723597756532426e-110,4.4750485,22.239445
ARPC1B,22.351572,0.7487206,1.1656584732156427e-110,1.4484651520250379e-108,1.0801755,2.114293
GPR85,22.348133,2.3696017,1.2589731373574374e-110,1.5407160652175791e-108,3.4186127,10.693132
GSN,22.267864,2.6802697,7.572526698033055e-110,9.128850468658655e-108,3.8668118,14.589027
RP6-159A1.4,22.209126,1.7604629,2.8034590470368787e-109,3.2816722786836044e-107,2.5398111,5.8151283
CLC,21.505465,4.634535,1.3839523929273148e-102,1.5525254830102667e-100,6.68622,102.98
LAPTM5,21.503307,1.0067939,1.4497601162480773e-102,1.6040701998542081e-100,1.4524965,2.7368124
S100A11,21.27491,0.9038628,1.9388483722376402e-100,2.0880104403417893e-98,1.3039984,2.4691224
HEPH,21.163713,1.5881733,2.06315464504153e-99,2.1926447457895313e-97,2.2912498,4.894799
ACSM3,21.007645,1.6347895,5.583725676247728e-98,5.857110686630246e-96,2.3585026,5.1283784
PLPP1,21.001112,4.029818,6.406878098940372e-98,6.634404410915562e-96,5.8137984,56.250675
RUNX1,20.825659,1.2585318,2.5342014525799287e-96,2.5585931415610104e-94,1.8156776,3.5202491
COLGALT2,20.605566,1.836658,2.4464092792476754e-94,2.4097131400589607e-92,2.6497374,6.2755303
PRKCB,20.334858,1.8955939,6.322186840524461e-92,6.079083703680484e-90,2.7347639,6.6565003
GMFG,20.190804,1.1776398,1.1793037993803458e-90,1.0948548031718452e-88,1.6989752,3.2467022
ARHGEF6,20.17352,2.2635381,1.6730017423180618e-90,1.5355494400798848e-88,3.2655952,9.617055
DOPEY2,20.142954,2.612933,3.1027191531801715e-90,2.7845180666929163e-88,3.7696652,13.638994
LTB,20.088198,3.2598634,9.359711899191193e-90,8.30751571535904e-88,4.7029886,26.045977
ATG16L2,20.07001,3.5413196,1.349815893517024e-89,1.172307846444839e-87,5.109044,34.512432
PGD,20.06714,1.1232053,1.4300015095260785e-89,1.2287364034512911e-87,1.6204427,3.0746934
FAM101B,20.003424,1.9588751,5.141901212508678e-89,4.371698536150799e-87,2.8260593,7.091345
IRF2BP2,19.97951,1.5534698,8.303735309330241e-89,6.98638230140212e-87,2.241183,4.7278466
SLC16A3,19.968073,3.033915,1.0440331714730109e-88,8.604750944885213e-87,4.377014,20.77842
